"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10163","@TC001 - Login then purchase product successful - Full end to end flow","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","5310","@TC007 - Login - Purchase product - No add to card product - Empty customer information","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","4895","@TC006 - No Login - Purchase product - Add to card - Empty Customer Information","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","5759","@TC004 - No Login - Purchase product - No add to card product","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","5376","@TC001 - Login with empty username and password","Chrome","2026-02-10","passed","2026-02-10","Login functionality","test.spec.ts","",""
"","10302","@TC005 - Login - Purchase product - Add to card - Empty Customer Information","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","5371","@TC002 - Login with invalid username and password","Chrome","2026-02-10","passed","2026-02-10","Login functionality","test.spec.ts","",""
"","7541","@TC003 - Login with valid username and password","Chrome","2026-02-10","passed","2026-02-10","Login functionality","test.spec.ts","",""
"","9009","@TC003 - Login - Purchase product - No add to card product","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","3690","@TC008 - No Login - Purchase product - No add to card product - Empty customer information","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
"","8990","@TC002 - No Login - Purchase product successful","Chrome","2026-02-10","passed","2026-02-10","Place order functionality","test.spec.ts","",""
